base,reform,reform_2,base,reform,reform_2,base,reform,reform_2
,,,0.370446375,0.36681233,0.37038373,,,
,,,0.397443339,0.393110863,0.397461648,,,
,,,0.398291445,0.390768219,0.398294468,,,
,,,0.394579395,0.3914554,0.394519974,,,
,,,0.403706583,0.39627124,0.403718824,,,
,,,0.387359032,0.380162204,0.387323828,,,
,,,0.396575496,0.390710664,0.396581319,,,
,,,0.384260556,0.374829758,0.384291198,,,
,,,0.368353858,0.35681414,0.368321691,,,
,,,0.371771856,0.356520577,0.371676935,,,
,,,0.374954577,0.357681251,0.374920406,,,
,,,0.379156652,0.359069541,0.379498747,,,
,,,0.37945102,0.354493738,0.379526465,,,
,,,0.387751126,0.357121312,0.3877778,,,
,,,0.392801514,0.35680925,0.392587158,,,
,,,0.387942357,0.352092594,0.387745631,,,
,,,0.392303034,0.354319137,0.392217945,,,
,,,0.391529527,0.351781167,0.391479757,,,
,,,0.384729229,0.342888982,0.384674581,,,
,,,0.399312997,0.349568391,0.399043441,,,
,,,0.397486158,0.356238752,0.397497189,,,
,,,0.405047038,0.375920089,0.404933723,,,
,,,0.405211044,0.375692091,0.405287669,,,
,,,0.411191857,0.388185181,0.411088354,,,
,,,0.424201016,0.398436518,0.424268355,,,
,,,0.41657973,0.38825957,0.416477892,,,
,,,0.420789924,0.396794385,0.420738721,,,
,,,0.417596109,0.399541436,0.417800372,,,
,,,0.411196008,0.394198036,0.411433308,,,
,,,0.415676124,0.400981663,0.415766531,,,
,,,0.429292427,0.410441214,0.429272518,,,
,,,0.407861145,0.392799573,0.408036677,,,
,,,0.422023545,0.405535643,0.42239883,,,
,,,0.425765012,0.407798636,0.425669942,,,
,,,0.409514252,0.395159204,0.410534992,,,
,,,0.407772937,0.395137742,0.408867781,,,
,,,0.405812335,0.392940585,0.407613546,,,
,,,0.406780067,0.397207844,0.409821942,,,
,,,0.415720152,0.394228963,0.419831478,,,
,,,0.443490118,0.400792308,0.448061241,,,
,,,0.435614811,0.385592472,0.438144854,,,
,,,0.438934619,0.384130515,0.439080453,,,
,,,0.445598718,0.37965013,0.444893009,,,
,,,0.457196517,0.392687251,0.457308661,,,
,,,0.451605789,0.383210134,0.455189083,,,
,,,0.45249459,0.383567618,0.449008667,,,
,,,0.464920651,0.39452686,0.454525881,,,
,,,0.447346633,0.377970913,0.459255332,,,
,,,0.436882774,0.366181514,0.46737012,,,
,,,0.433540492,0.362564214,0.466092549,,,
,,,,,,-0.180252518,-0.166331724,-0.180252949
,,,,,,-0.16826122,-0.156460397,-0.16826122
,,,,,,0.013057192,0.027538279,0.013057192
,,,,,,0.017085218,0.024198265,0.017085218
,,,,,,0.126414324,0.15781735,0.126414324
,,,,,,0.125605881,0.215787274,0.125605881
,,,,,,0.169971723,0.250741671,0.169971723
,,,,,,0.245762033,0.304615701,0.245762033
,,,,,,0.331086028,0.3996499,0.331086028
,,,,,,0.328074053,0.410352547,0.328074053
,,,,,,0.331215145,0.409432458,0.331216208
,,,,,,0.362123295,0.411811833,0.362123295
,,,,,,0.355905873,0.411407727,0.35590259
,,,,,,0.367922615,0.409936093,0.367922615
,,,,,,0.379422192,0.419073966,0.379419216
,,,,,,0.390908663,0.414422782,0.390908663
,,,,,,0.387441555,0.413115636,0.387441555
,,,,,,0.386241178,0.41012131,0.386238557
,,,,,,0.385405934,0.409223077,0.385405934
,,,,,,0.391952482,0.411235975,0.391952482
,,,,,,0.390863028,0.415851166,0.390863028
,,,,,,0.39642643,0.418767992,0.39642643
,,,,,,0.406040799,0.418271846,0.406040799
,,,,,,0.413865593,0.420529685,0.413865593
,,,,,,0.410682826,0.418592928,0.410682826
,,,,,,0.413463922,0.419991109,0.413463922
,,,,,,0.417113004,0.418425022,0.417137202
,,,,,,0.410904756,0.408989556,0.410904756
,,,,,,0.437136343,0.422766554,0.437128645
,,,,,,0.418755906,0.405678012,0.418755906
,,,,,,0.436254233,0.422167737,0.436254233
,,,,,,0.414070977,0.405218991,0.414070977
,,,,,,0.419942932,0.415047326,0.419942932
,,,,,,0.408014185,0.391993507,0.408014185
,,,,,,0.380251387,0.366987224,0.380251387
,,,,,,0.38875025,0.369753836,0.38875025
